File	Clade	N taxa (informative)	p(A)	p(C)	p(G)	p(T|U)	p(AT)	p(Purine)	p(Pyrimidine)	csRCFV (A)	csRCFV (C)	csRCFV (G)	csRCFV (T|U)	csRCFV (AT)	csRCFV (Purine)	csRCFV (Pyrimidine)	Skew (A-G)	Skew (C-T)	Skew (A-T)	Skew (G-C)	Chi-square value	Degrees of freedom	p-value	RCFV Value	c-value	Mean p-distances	Mean ti/tv	Std. Deviation p-distances	Std. Deviation ti/tv	p(Sites)	p(Gap)	p(Ambiguity)	csRCFV (Gap)	csRCFV (Ambiguity)	p_uninformative sites	p_inv(State)	p_inv(Class)
locus_0028	0 All_Taxa	35	0.1987	0.2913	0.2886	0.2214	0.4201	0.4872	0.5128	0.0249	0.0265	0.0247	0.0258	0.0509	0.0074	0.0074	-0.18	0.14	-0.05	-0.00	892.39933	102	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000047027	0.1019	2.5451332674556	0.610852713178295	1.36132554498376	0.207810656972175	0.528905816391688	0.8012	0.1988	0	0.1551	0.0000	0.2989	0.0000	0.0000
locus_0029	0 All_Taxa	28	0.1784	0.3817	0.2241	0.2158	0.3942	0.4025	0.5975	0.0125	0.0151	0.0143	0.0165	0.0226	0.0142	0.0142	-0.11	0.28	-0.09	-0.26	57.27491	81	0.97890	0.0584	8732.53074818971	0.755703476133584	88.9030308693453	0.0979839941721413	855.648241938665	0.8738	0.1262	0	0.0388	0.0000	0.3883	0.2473	0.3548
locus_0030	0 All_Taxa	39	0.2346	0.2772	0.2683	0.2198	0.4545	0.5029	0.4971	0.0127	0.0252	0.0123	0.0235	0.0341	0.0071	0.0071	-0.07	0.12	0.03	-0.02	80.51479	114	0.99255	0.074	2757.27809859153	0.877366493155967	5.7772924976559	0.0399484122461509	110.148882159818	0.9825	0.0143	0.0032	0.0000	0.0061	0.0420	0.5286	0.6952
locus_0031	0 All_Taxa	33	0.2382	0.308	0.2334	0.2204	0.4586	0.4716	0.5284	0.0155	0.0140	0.0182	0.0160	0.0281	0.0100	0.0100	0.01	0.17	0.04	-0.14	72.15087	96	0.96708	0.0636	7.00458396852234	0.784785353535354	1.35160680792031	0.0676561440796394	0.47390314219228	0.9971	0	0.0029	0.0000	0.0035	0.1774	0.3238	0.5429
locus_0032	0 All_Taxa	32	0.2751	0.3289	0.2302	0.1658	0.4409	0.5053	0.4947	0.0121	0.0166	0.0141	0.0131	0.0227	0.0102	0.0102	0.09	0.33	0.25	-0.18	63.11924	93	0.99250	0.0562	10.9444687318269	0.824282667134175	1.40873827428596	0.090708004296253	0.992750916746762	0.7103	0.2751	0.0146	0.0226	0.0212	0.4318	0.1957	0.2971
locus_0033	0 All_Taxa	34	0.2342	0.3005	0.2202	0.2452	0.4793	0.4543	0.5457	0.0182	0.0214	0.0185	0.0222	0.0364	0.0142	0.0142	0.03	0.10	-0.02	-0.15	104.05475	99	0.34440	0.0804	4.19451618628881	0.692392022963688	1.14934443510686	0.100477007845723	0.421452435758753	0.9388	0.0406	0.0206	0.0034	0.0285	0.2020	0.0892	0.1737
locus_0034	0 All_Taxa	39	0.2442	0.3823	0.1858	0.1878	0.432	0.4299	0.5701	0.0214	0.0302	0.0169	0.0221	0.0427	0.0119	0.0119	0.14	0.34	0.13	-0.35	125.04588	114	0.22565	0.0908	4.31675684934709	0.782819519661625	1.05509856713823	0.0896049228859228	0.386802664603025	0.9083	0.0916	0.0001	0.0252	0.0002	0.1144	0.1688	0.2641
locus_0035	0 All_Taxa	38	0.2418	0.2961	0.2585	0.2035	0.4454	0.5003	0.4997	0.0292	0.0250	0.0243	0.0183	0.0403	0.0159	0.0159	-0.03	0.19	0.09	-0.07	159.88352	111	0.0016648	0.0971	6.77783095975059	0.783783783783784	1.16080283160812	0.0685700864837467	0.464756455082314	0.7138	0.2862	0	0.0154	0.0000	0.3219	0.1012	0.2083
locus_0036	0 All_Taxa	36	0.2346	0.2741	0.2805	0.2108	0.4454	0.5151	0.4849	0.0157	0.0204	0.0143	0.0198	0.0328	0.0081	0.0081	-0.09	0.13	0.05	0.01	99.4655100000001	105	0.63414	0.0704	9.5734556718006	0.814471879286694	1.23403925690795	0.0423739714261009	0.405665337085923	0.9632	0.0368	0	0.0004	0.0000	0.1331	0.4691	0.6420
locus_0037	0 All_Taxa	37	0.2258	0.337	0.2448	0.1924	0.4182	0.4706	0.5294	0.0212	0.0305	0.0186	0.0271	0.0470	0.0113	0.0113	-0.04	0.27	0.08	-0.16	210.19298	108	0.000000016544	0.0971	3.60094021844384	0.64641156307823	1.36278043188495	0.195465346219781	0.70385902651486	0.7777	0.0996	0.1227	0.0399	0.1657	0.2806	0.0606	0.1010
locus_0038	0 All_Taxa	39	0.2838	0.2412	0.2751	0.1999	0.4837	0.5589	0.4411	0.0204	0.0251	0.0161	0.0197	0.0355	0.0128	0.0128	0.02	0.09	0.17	0.07	130.32485	114	0.14064	0.0813	272.807976410363	0.762490386429266	2.7620389916742	0.134482592357098	36.6879238833596	0.6615	0.3007	0.0378	0.0458	0.0622	0.3550	0.1210	0.2043
locus_0039	0 All_Taxa	38	0.2073	0.279	0.2959	0.2177	0.4251	0.5033	0.4967	0.0308	0.0295	0.0326	0.0287	0.0571	0.0143	0.0143	-0.18	0.12	-0.02	0.03	356.47018	111	0.0000000000000000000000000071106	0.1215	2.51374022437602	0.602674380491406	1.04664858783915	0.125112908640381	0.314501351038007	0.8325	0.1674	0.0001	0.0874	0.0001	0.2091	0.0000	0.0000
locus_0040	0 All_Taxa	36	0.2885	0.3085	0.227	0.176	0.4645	0.5155	0.4845	0.0255	0.0339	0.0211	0.0210	0.0404	0.0279	0.0279	0.12	0.27	0.24	-0.15	235.05771	105	0.0000000000076748	0.1015	3.7729046096239	0.593310657596372	1.19471739964454	0.15909839527766	0.600263068926848	0.5335	0.4087	0.0578	0.0703	0.0876	0.5199	0.0333	0.0683
locus_0041	0 All_Taxa	34	0.192	0.3883	0.2267	0.1929	0.3849	0.4187	0.5813	0.0187	0.0350	0.0263	0.0214	0.0387	0.0254	0.0254	-0.08	0.34	-0.00	-0.26	178.64498	99	0.0000016601	0.1011	2524.3680345876	0.500464676935265	76.1065280049022	0.252074521717636	636.328864957958	0.5371	0.1943	0.2685	0.0733	0.2346	0.5434	0.0000	0.0000
locus_0042	0 All_Taxa	34	0.2163	0.2651	0.3554	0.1632	0.3795	0.5717	0.4283	0.0253	0.0267	0.0203	0.0150	0.0345	0.0224	0.0224	-0.24	0.24	0.14	0.15	241.81998	99	0.000000000000058859	0.0874	4.10860825091902	0.530694647004807	1.10245499436504	0.245051707022605	1.00682146537487	0.5349	0.2486	0.2165	0.0838	0.2231	0.5453	0.0000	0.0000
locus_0043	0 All_Taxa	34	0.2029	0.2731	0.291	0.233	0.4359	0.4939	0.5061	0.0156	0.0176	0.0178	0.0177	0.0318	0.0069	0.0070	-0.18	0.08	-0.07	0.03	245.13457	99	0.000000000000021531	0.0684	251.521060243043	0.630657183365395	2.77438356886734	0.167696052605514	42.1790889499119	0.7316	0.2683	0.0001	0.1047	0.0002	0.3781	0.0000	0.0000
locus_0044	0 All_Taxa	35	0.1845	0.3171	0.3139	0.1844	0.3689	0.4985	0.5015	0.0170	0.0195	0.0149	0.0168	0.0321	0.0081	0.0081	-0.26	0.26	0.00	-0.01	289.11244	102	0.00000000000000000019050	0.0679	2.3916404906631	0.640935922391556	0.868478045245157	0.158302539402672	0.378602763010222	0.6614	0.3384	0.0002	0.1419	0.0003	0.4213	0.0000	0.0000
locus_0045	0 All_Taxa	39	0.3157	0.2878	0.2693	0.1271	0.4429	0.5851	0.4149	0.0232	0.0184	0.0240	0.0189	0.0377	0.0116	0.0116	0.08	0.39	0.43	-0.03	108.42966	114	0.62965	0.0844	380.627725854439	0.7510484233744	2.61765514366472	0.0964096494359408	36.6961856152258	0.9868	0	0.0132	0.0000	0.0245	0.0379	0.1613	0.2903
locus_0046	0 All_Taxa	34	0.225	0.2451	0.3473	0.1826	0.4076	0.5723	0.4277	0.0140	0.0151	0.0136	0.0143	0.0242	0.0091	0.0091	-0.21	0.15	0.10	0.17	57.21303	99	0.99975	0.0567	7.12496423814662	0.772240047534165	0.994613794281356	0.0544868812507018	0.388217080359392	0.9563	0.0424	0.0013	0.0056	0.0021	0.1871	0.2489	0.4089
locus_0047	0 All_Taxa	37	0.2247	0.2974	0.2884	0.1895	0.4142	0.5131	0.4869	0.0309	0.0349	0.0233	0.0247	0.0533	0.0180	0.0180	-0.12	0.22	0.08	-0.02	291.04478	108	0.0000000000000000020109	0.1137	2635.39414731646	0.726356791574183	10.0722979978512	0.0882047640232874	232.454318872401	0.7545	0.2452	0.0003	0.0363	0.0005	0.3021	0.0700	0.1039
locus_0048	0 All_Taxa	37	0.205	0.2811	0.3222	0.1917	0.3967	0.5272	0.4728	0.0261	0.0241	0.0247	0.0208	0.0400	0.0142	0.0142	-0.22	0.19	0.03	0.07	205.89603	108	0.000000047667	0.0955	3.99264759610277	0.751005907868653	0.963483254460976	0.115644991134118	0.461729695852961	0.6798	0.3201	0.0001	0.0502	0.0001	0.3712	0.0458	0.0806
locus_0049	0 All_Taxa	40	0.2168	0.2879	0.3181	0.1772	0.394	0.5349	0.4651	0.0135	0.0199	0.0143	0.0190	0.0324	0.0075	0.0075	-0.19	0.24	0.10	0.05	97.76168	117	0.90149	0.0665	15.3610191704369	0.861835748792271	1.1233058572532	0.0339305339051925	0.521207581780821	0.9968	0	0.0032	0.0000	0.0056	0.0032	0.5449	0.7043
locus_0050	0 All_Taxa	36	0.1508	0.3367	0.2691	0.2434	0.3942	0.4199	0.5801	0.0207	0.0204	0.0202	0.0202	0.0382	0.0088	0.0088	-0.28	0.16	-0.23	-0.11	171.54538	105	0.000046078	0.0813	2.77332719855299	0.699681603221426	1.0011695938585	0.159964885706786	0.443634968344048	0.9474	0.0079	0.0447	0.0015	0.0708	0.1473	0.1091	0.1386
locus_0051	0 All_Taxa	34	0.2172	0.3421	0.2574	0.1833	0.4005	0.4746	0.5254	0.0191	0.0234	0.0197	0.0230	0.0395	0.0113	0.0113	-0.08	0.30	0.08	-0.14	181.41435	99	0.00000086232	0.085	3.13413275274201	0.657639226489494	1.1772385888509	0.213628568173887	0.669540292435158	0.6326	0.2799	0.0876	0.0463	0.1182	0.4623	0.0000	0.0000
locus_0052	0 All_Taxa	36	0.2914	0.248	0.2879	0.1728	0.4641	0.5792	0.4208	0.0303	0.0236	0.0347	0.0225	0.0507	0.0149	0.0149	0.01	0.18	0.26	0.07	255.265	105	0.000000000000024026	0.1114	1.67635475890974	0.564724075352095	1.07906647510104	0.148307899861874	0.248616653717363	0.5538	0.2106	0.2356	0.0493	0.1526	0.5016	0.0580	0.1031
locus_0053	0 All_Taxa	34	0.2227	0.3478	0.2753	0.1541	0.3768	0.498	0.502	0.0159	0.0220	0.0208	0.0221	0.0362	0.0112	0.0112	-0.11	0.39	0.18	-0.12	285.35029	99	0.000000000000000000057954	0.0808	533.774238518285	0.710245476681463	4.61215396768375	0.15811386279852	84.3971067144648	0.5891	0.4108	0.0001	0.1050	0.0002	0.4992	0.0000	0.0000
locus_0054	0 All_Taxa	32	0.2067	0.3063	0.3047	0.1823	0.389	0.5114	0.4886	0.0204	0.0232	0.0179	0.0193	0.0395	0.0064	0.0064	-0.19	0.25	0.06	-0.00	500.49733	93	0	0.081	3.99741317747621	0.75168343447248	0.993678297314697	0.0813741032137765	0.325285912492059	0.6980	0.302	0	0.0370	0.0000	0.4416	0.1196	0.1799
locus_0055	0 All_Taxa	37	0.2634	0.2837	0.2808	0.172	0.4354	0.5442	0.4558	0.0184	0.0205	0.0178	0.0173	0.0327	0.0092	0.0092	-0.03	0.25	0.21	-0.01	100.58848	108	0.68115	0.0741	7.91374346106281	0.796073851629407	1.33533247347124	0.0726995093218872	0.57532526651856	0.9891	0.0068	0.0041	0.0074	0.0068	0.0851	0.3657	0.5417
locus_0056	0 All_Taxa	40	0.2365	0.2378	0.3511	0.1746	0.4111	0.5876	0.4124	0.0249	0.0203	0.0235	0.0182	0.0391	0.0133	0.0133	-0.20	0.15	0.15	0.19	107.29822	117	0.72875	0.0869	9.01449299790732	0.800041356492969	1.11690574369878	0.0489417283475234	0.441184867494232	0.8161	0.1839	0	0.0082	0.0000	0.1839	0.2509	0.4014
locus_0057	0 All_Taxa	38	0.1817	0.3238	0.2653	0.2292	0.411	0.447	0.553	0.0218	0.0284	0.0176	0.0214	0.0406	0.0152	0.0152	-0.19	0.17	-0.12	-0.10	104.88567	111	0.64557	0.0892	427.71712534336	0.753725016882912	2.29720183495336	0.0881099897410449	37.6861515260726	0.9515	0.014	0.0346	0.0028	0.0491	0.0961	0.2879	0.3838
locus_0058	0 All_Taxa	37	0.2255	0.2674	0.2807	0.2263	0.4519	0.5063	0.4937	0.0222	0.0268	0.0155	0.0208	0.0384	0.0151	0.0151	-0.11	0.08	-0.00	0.02	141.50332	108	0.016876	0.0855	7.59721040564798	0.758091424758091	1.29487976219941	0.0799041767379616	0.607048842968377	0.9592	0.0367	0.0041	0.0024	0.0072	0.1128	0.1852	0.3745
locus_0059	0 All_Taxa	37	0.3027	0.2477	0.293	0.1567	0.4593	0.5957	0.4043	0.0242	0.0200	0.0184	0.0146	0.0312	0.0161	0.0161	0.02	0.23	0.32	0.08	91.6876	108	0.86985	0.077	424.562996270745	0.778660103402371	2.6987351904926	0.0911690564937096	38.7070077921462	0.7582	0.2293	0.0124	0.0101	0.0217	0.2986	0.0997	0.1615
locus_0060	0 All_Taxa	37	0.201	0.3246	0.2377	0.2368	0.4377	0.4386	0.5614	0.0193	0.0367	0.0119	0.0269	0.0447	0.0138	0.0138	-0.08	0.16	-0.08	-0.15	194.78074	108	0.00000066783	0.0947	1850.26403269702	0.841903014125236	5.80636759265266	0.0628009797215873	116.198393996988	0.9982	0	0.0018	0.0000	0.0032	0.0767	0.4852	0.6630
locus_0061	0 All_Taxa	36	0.1828	0.2815	0.2601	0.2756	0.4585	0.4429	0.5571	0.0200	0.0246	0.0232	0.0247	0.0429	0.0107	0.0107	-0.17	0.01	-0.20	-0.04	176.65059	105	0.000015784	0.0925	1616.06741321349	0.776269594026603	6.1348924364604	0.0739262765522988	119.469846516378	0.9220	0.0744	0.0035	0.0037	0.0060	0.1702	0.2305	0.3801
locus_0062	0 All_Taxa	35	0.1672	0.3117	0.2777	0.2433	0.4105	0.4449	0.5551	0.0190	0.0287	0.0163	0.0259	0.0437	0.0066	0.0066	-0.25	0.12	-0.19	-0.06	353.66722	102	0.00000000000000000000000000011056	0.09	3.57151135380103	0.721985937232036	1.08043461284812	0.119507042904851	0.42682076059386	0.9448	0.0166	0.0386	0.0039	0.0511	0.1733	0.1769	0.2653
locus_0063	0 All_Taxa	34	0.2349	0.285	0.2744	0.2057	0.4407	0.5093	0.4907	0.0200	0.0201	0.0197	0.0190	0.0371	0.0073	0.0073	-0.08	0.16	0.07	-0.02	415.65482	99	0	0.0786	2.05347335421746	0.60953085296014	1.17201856560197	0.16971086904084	0.348496747496454	0.8799	0.12	0.0001	0.0943	0.0001	0.2521	0.0000	0.0000
locus_0064	0 All_Taxa	40	0.2447	0.3219	0.2562	0.1773	0.422	0.5008	0.4992	0.0240	0.0258	0.0208	0.0204	0.0338	0.0156	0.0156	-0.02	0.29	0.16	-0.11	112.79414	117	0.59279	0.0907	6.02574635377008	0.75674564535324	0.920263346715883	0.0738654090788575	0.445094219426661	0.8265	0.1734	0.0001	0.0588	0.0002	0.1735	0.2996	0.4135
