File	Taxon	p(A)	p(C)	p(G)	p(T|U)	p(AT)	p(Purine)	p(Pyrimidine)	p(Gap)	p(Ambiguity)	RCFV Value (taxon specific)	Absolute Deviation (A)	Absolute Deviation (C)	Absolute Deviation (G)	Absolute Deviation (T|U)	Absolute Deviation (AT)	Absolute Deviation (Purine)	Absolute Deviation (Pyrimidine)	Absolute Deviation (Gap)	Absolute Deviation (Ambiguity)	p_uninformative sites
Matrix_original_supermatrix_mod.fas	Teleost_Anguilliformes_Anguillidae_Anguilla_anguilla	0.2129	0.3117	0.3030	0.1725	0.3854	0.5159	0.4841	0.3572	0.0663	0.0022	0.0217	0.0236	0.0209	0.0227	0.0451	0.0005	0.0005	0.1655	0.0656	0.4235
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Batrachoidaria_Batrachoidiformes_Batrachoididae_Chatrabus_melanurus	0.2438	0.2772	0.2699	0.2091	0.4529	0.5137	0.4863	0.1714	0.0384	0.0012	0.0092	0.0109	0.0122	0.0139	0.0224	0.0027	0.0027	0.0203	0.0935	0.2098
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Osmeriformes_Osmeridae_Osmerus_eperlanus	0.2206	0.3039	0.2963	0.1792	0.3998	0.5169	0.4831	0.2266	0.0586	0.0015	0.0140	0.0158	0.0142	0.0160	0.0307	0.0005	0.0005	0.0349	0.0733	0.2853
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Ovalentaria_Cichliformes_Cichlidae_Oreochromis_niloticus	0.2475	0.2732	0.2724	0.2068	0.4544	0.5199	0.4801	0.1685	0.0007	0.0012	0.0129	0.0149	0.0097	0.0116	0.0239	0.0035	0.0035	0.0232	0.1312	0.1691
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Eupercaria_Perciformes_Percidae_Perca_fluviatilis	0.2361	0.2870	0.2782	0.1987	0.4348	0.5143	0.4857	0.1896	0.0540	0.0003	0.0015	0.0011	0.0039	0.0035	0.0043	0.0021	0.0021	0.0021	0.0779	0.2437
Matrix_original_supermatrix_mod.fas	Amiiformes_Amiidae_Amia_calva_gill	0.2383	0.2883	0.2922	0.1811	0.4195	0.5305	0.4695	0.1454	0.4834	0.0007	0.0037	0.0002	0.0101	0.0141	0.0110	0.0141	0.0141	0.0463	0.3515	0.6288
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Eupercaria_Tetraodontiformes_Tetraodontidae_Takifugu_rubripes	0.2397	0.2843	0.2758	0.2002	0.4399	0.5155	0.4845	0.1642	0.0143	0.0005	0.0051	0.0038	0.0063	0.0050	0.0094	0.0009	0.0009	0.0275	0.1176	0.1785
Matrix_original_supermatrix_mod.fas	Teleost_Clupeiformes_Clupeiformes_Clupeidae_Clupea_harengus	0.2117	0.3173	0.2952	0.1758	0.3875	0.5069	0.4931	0.1838	0.0191	0.0021	0.0229	0.0292	0.0131	0.0194	0.0430	0.0095	0.0095	0.0079	0.1128	0.2029
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Myctophiformes_Myctophidae_Benthosema_glaciale	0.2321	0.2947	0.2865	0.1868	0.4188	0.5186	0.4814	0.2444	0.2363	0.0005	0.0025	0.0066	0.0044	0.0084	0.0117	0.0022	0.0022	0.0527	0.1044	0.4806
Matrix_original_supermatrix_mod.fas	Teleost_Osteoglossiformes_Osteoglossiformes_Osteoglossidae_Scleropages_formosus	0.2233	0.2911	0.2923	0.1934	0.4167	0.5156	0.4844	0.1783	0.0529	0.0007	0.0113	0.0030	0.0102	0.0018	0.0138	0.0008	0.0008	0.0134	0.0790	0.2312
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Lampriformes_Lampridae_Lampris_guttatus	0.2394	0.2840	0.2753	0.2014	0.4408	0.5146	0.4854	0.1647	0.0562	0.0005	0.0048	0.0041	0.0068	0.0062	0.0103	0.0018	0.0018	0.0270	0.0757	0.2209
Matrix_original_supermatrix_mod.fas	Acipenseriformes_Polyodontidae_Polyodon_spathula	0.2502	0.2773	0.2738	0.1986	0.4488	0.5240	0.4760	0.1813	0.1063	0.0010	0.0156	0.0108	0.0083	0.0034	0.0183	0.0076	0.0076	0.0104	0.0256	0.2876
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Esociformes_Esocidae_Esox_lucius	0.2280	0.2964	0.2881	0.1874	0.4154	0.5161	0.4839	0.1606	0.0558	0.0007	0.0066	0.0083	0.0060	0.0078	0.0151	0.0003	0.0003	0.0311	0.0761	0.2165
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Zeiogadaria_Gadiformes_Bregmacerotidae_Bregmaceros_cantori	0.2009	0.3209	0.2990	0.1792	0.3801	0.4999	0.5001	0.1944	0.3645	0.0025	0.0337	0.0328	0.0169	0.0160	0.0504	0.0165	0.0165	0.0027	0.2326	0.5589
Matrix_original_supermatrix_mod.fas	Lepisosteiformes_Lepisosteiformes_Lepisosteidae_Lepisosteus_oculatus	0.2274	0.2959	0.2899	0.1868	0.4142	0.5173	0.4827	0.2306	0.0111	0.0008	0.0072	0.0078	0.0078	0.0084	0.0163	0.0009	0.0009	0.0389	0.1208	0.2417
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Argentiniformes_Argentinidae_Argentina_sp	0.2210	0.3102	0.2988	0.1700	0.3910	0.5198	0.4802	0.1716	0.3376	0.0019	0.0136	0.0221	0.0167	0.0252	0.0395	0.0034	0.0034	0.0201	0.2057	0.5092
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Ophidiaria_Ophidiiformes_Ophidiidae_Brotula_barbata	0.2447	0.2776	0.2723	0.2055	0.4502	0.5169	0.4831	0.1662	0.0471	0.0010	0.0101	0.0105	0.0098	0.0103	0.0197	0.0005	0.0005	0.0255	0.0848	0.2133
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Carangaria_Pleuronectiformes_Cynoglossidae_Cynoglossus_semilaevis	0.2483	0.2733	0.2685	0.2098	0.4582	0.5169	0.4831	0.1699	0.0354	0.0014	0.0137	0.0148	0.0136	0.0146	0.0277	0.0005	0.0005	0.0218	0.0965	0.2052
Matrix_original_supermatrix_mod.fas	Polypteriformes_Polypteriformes_Polypteridae_Polypterus_bichir	0.2898	0.2317	0.2357	0.2428	0.5326	0.5255	0.4745	0.2053	0.3371	0.0051	0.0552	0.0564	0.0464	0.0476	0.1021	0.0091	0.0091	0.0136	0.2052	0.5423
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Holocentriformes_Holocentridae_Myripristis_jacobus	0.2323	0.2896	0.2852	0.1929	0.4252	0.5175	0.4825	0.1710	0.0242	0.0002	0.0023	0.0015	0.0031	0.0023	0.0053	0.0011	0.0011	0.0207	0.1077	0.1952
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Trachichthyformes_Monocentridae_Monocentris_japonica	0.2360	0.2833	0.2809	0.1997	0.4358	0.5169	0.4831	0.1841	0.0836	0.0003	0.0014	0.0048	0.0012	0.0045	0.0053	0.0005	0.0005	0.0076	0.0483	0.2676
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Ovalentaria_Cichliformes_Cichlidae_Haplochromis_burtoni	0.2480	0.2719	0.2717	0.2083	0.4564	0.5198	0.4802	0.1678	0.0072	0.0013	0.0134	0.0162	0.0104	0.0131	0.0259	0.0034	0.0034	0.0239	0.1247	0.1750
Matrix_original_supermatrix_mod.fas	Xenopus_tropicalis	0.2795	0.2281	0.2387	0.2536	0.5332	0.5182	0.4818	0.1555	0.3011	0.0052	0.0449	0.0600	0.0434	0.0584	0.1027	0.0018	0.0018	0.0362	0.1692	0.4566
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Lepidogalaxiiformes_Lepidogalaxiidae_Lepidogalaxias_salamandroides	0.2170	0.3088	0.3008	0.1733	0.3904	0.5178	0.4822	0.1480	0.4343	0.0020	0.0176	0.0207	0.0187	0.0219	0.0401	0.0014	0.0014	0.0437	0.3024	0.5823
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Aulopiformes_Chlorophthalmidae_Parasudis_fraserbrunneri	0.2281	0.2954	0.2853	0.1912	0.4193	0.5134	0.4866	0.1734	0.1772	0.0005	0.0065	0.0073	0.0032	0.0040	0.0112	0.0030	0.0030	0.0183	0.0453	0.3506
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Percopsaria_Percopsiformes_Percopsidae_Percopsis_transmontana	0.2266	0.2922	0.2873	0.1939	0.4205	0.5139	0.4861	0.1901	0.1586	0.0005	0.0080	0.0041	0.0052	0.0013	0.0100	0.0025	0.0025	0.0016	0.0267	0.3487
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Eupercaria_Perciformes_Gasterosteidae_Gasterosteus_aculeatus	0.2176	0.3079	0.2968	0.1777	0.3953	0.5143	0.4857	0.1747	0.0017	0.0017	0.0170	0.0198	0.0147	0.0175	0.0352	0.0021	0.0021	0.0170	0.1302	0.1764
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Ovalentaria_Cichliformes_Cichlidae_Amphilophus_citrinellus	0.2481	0.2720	0.2717	0.2083	0.4563	0.5198	0.4802	0.1727	0.0069	0.0013	0.0135	0.0161	0.0104	0.0131	0.0258	0.0034	0.0034	0.0190	0.1250	0.1796
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Zeiogadaria_Zeiformes_Zeidae_Zeus_faber	0.2126	0.3120	0.2981	0.1773	0.3899	0.5107	0.4893	0.1664	0.0877	0.0020	0.0220	0.0239	0.0160	0.0179	0.0406	0.0057	0.0057	0.0253	0.0442	0.2541
Matrix_original_supermatrix_mod.fas	Coelacanthiformes_Coelacanthiformes_Latimeriidae_Latimeria_chalumnae	0.2767	0.2410	0.2479	0.2344	0.5111	0.5245	0.4755	0.1812	0.1360	0.0041	0.0421	0.0471	0.0342	0.0392	0.0806	0.0081	0.0081	0.0105	0.0041	0.3172
