	Matrix_original_supermatrix_mod.fas	locus_0001	locus_0002	locus_0003	locus_0004	locus_0005	locus_0006	locus_0007	locus_0008	locus_0009	locus_0010	locus_0011	locus_0012	locus_0013	locus_0014	locus_0015	locus_0016	locus_0017	locus_0018	locus_0019	locus_0020	locus_0021	locus_0022	locus_0023	locus_0024	locus_0025	locus_0026	locus_0027	locus_0028	locus_0029	locus_0030	locus_0031	locus_0032	locus_0033	locus_0034	locus_0035	locus_0036	locus_0037	locus_0038	locus_0039	locus_0040	locus_0041	locus_0042	locus_0043	locus_0044	locus_0045	locus_0046	locus_0047	locus_0048	locus_0049	locus_0050	locus_0051	locus_0052	locus_0053	locus_0054	locus_0055	locus_0056	locus_0057	locus_0058	locus_0059	locus_0060	locus_0061	locus_0062	locus_0063	locus_0064	locus_0065	locus_0066	locus_0067	locus_0068	locus_0069	locus_0070	locus_0071	locus_0072	locus_0073	locus_0074	locus_0075	locus_0076	locus_0077	locus_0078	locus_0079	locus_0080	locus_0081	locus_0082	locus_0083	locus_0084	locus_0085	locus_0086	locus_0087	locus_0088	locus_0089	locus_0090	locus_0091	locus_0092	locus_0093	locus_0094	locus_0095	locus_0096	locus_0097	locus_0098	locus_0099	locus_0100
Teleost_Otophysa_Characiformes_Characidae_Astyanax_mexicanus	0.0005	0.0006	0.0030	0.0049	0.0029	0.0031	0.0021	0.0024	0.0018	0.0045	0.0003	0.0009		0.0039	0.0020	0.0024	0.0046	0.0015	0.0037	0.0016	0.0034	0.0030	0.0006	0.0011	0.0034	0.0027	0.0021	0.0003	0.0024	0.0040	0.0021	0.0027	0.0015	0.0009	0.0014	0.0027	0.0031	0.0008	0.0026	0.0043	0.0013	0.0010	0.0006	0.0014	0.0037	0.0010	0.0010	0.0008	0.0009	0.0010	0.0004	0.0030	0.0070	0.0015	0.0029	0.0020	0.0029	0.0029	0.0010	0.0027	0.0016	0.0033	0.0009	0.0007	0.0020	0.0020	0.0018	0.0022	0.0011	0.0022		0.0029	0.0018	0.0017	0.0016	0.0030	0.0026	0.0003	0.0017	0.0013			0.0018	0.0046	0.0044	0.0014	0.0053	0.0028	0.0008	0.0017	0.0017	0.0010	0.0019	0.0017	0.0014	0.0016	0.0028	0.0025	0.0018	0.0015	
Teleost_Euteleost_Zeiogadaria_Stylephoriformes_Stylephoridae_Stylephorus_chordatus	0.0002	0.0004	0.0022	0.0004		0.0021	0.0059	0.0015		0.0021			0.0009	0.0025	0.0012						0.0043			0.0028		0.0018	0.0012		0.0019	0.0021	0.0004	0.0017		0.0008		0.0032	0.0023		0.0013	0.0010				0.0004			0.0021	0.0006	0.0017	0.0010		0.0013	0.0020			0.0014	0.0014	0.0021	0.0009	0.0026		0.0021	0.0012		0.0027	0.0020	0.0031	0.0006	0.0016	0.0019		0.0021	0.0010	0.0026	0.0013	0.0019	0.0028	0.0006	0.0013	0.0005	0.0012	0.0021	0.0007	0.0025		0.0037	0.0025	0.0040			0.0025		0.0018	0.0013	0.0032	0.0033	0.0019		0.0018	0.0015	0.0017
Teleost_Euteleost_Ateleopodiformes_Ateleopodidae_Guentherus_altivela	0.0006	0.0014		0.0006	0.0026	0.0014	0.0007	0.0025	0.0028	0.0048	0.0052		0.0009		0.0026	0.0019	0.0005	0.0011	0.0025	0.0005	0.0024		0.0013	0.0030	0.0040	0.0005	0.0023	0.0065	0.0014		0.0013	0.0022	0.0007	0.0020	0.0014	0.0008		0.0020	0.0013	0.0055	0.0051	0.0021	0.0024	0.0039	0.0017	0.0007		0.0019	0.0020	0.0013	0.0033	0.0023	0.0012	0.0011	0.0007	0.0027	0.0017	0.0025	0.0016	0.0009	0.0015	0.0007	0.0016	0.0037	0.0018	0.0019	0.0014	0.0027	0.0014	0.0008	0.0024	0.0011	0.0016	0.0007	0.0014	0.0018		0.0012	0.0013	0.0007	0.0020	0.0012	0.0025	0.0022	0.0015	0.0016		0.0023	0.0011	0.0006	0.0024	0.0014		0.0037	0.0014	0.0016	0.0019	0.0021	0.0014	0.0019	0.0011
Teleost_Euteleost_Lampriformes_Lampridae_Lampris_guttatus	0.0005	0.0022	0.0012	0.0014	0.0007	0.0022	0.0019	0.0009	0.0023	0.0045	0.0036	0.0034	0.0018	0.0017	0.0003	0.0032	0.0034	0.0034	0.0016	0.0009	0.0010	0.0013	0.0033	0.0028	0.0013	0.0017	0.0026	0.0013	0.0005	0.0011	0.0022	0.0008	0.0013	0.0012	0.0005	0.0025	0.0029	0.0006	0.0023	0.0020	0.0032	0.0019	0.0013	0.0017	0.0006	0.0012	0.0009	0.0025	0.0010	0.0009	0.0012	0.0018	0.0015	0.0010	0.0016	0.0021	0.0028	0.0017	0.0020	0.0022	0.0004	0.0012	0.0015	0.0027	0.0014	0.0009	0.0031	0.0004	0.0034	0.0011	0.0004	0.0010	0.0026	0.0015	0.0009	0.0024		0.0027	0.0008	0.0022	0.0011	0.0026	0.0006	0.0018	0.0023	0.0006	0.0019	0.0025		0.0007	0.0004		0.0008	0.0015	0.0006	0.0017	0.0015		0.0006	0.0014	0.0006
Acipenseriformes_Polyodontidae_Polyodon_spathula	0.0010		0.0043	0.0039	0.0046	0.0049	0.0031	0.0039	0.0036	0.0030	0.0074	0.0025	0.0028	0.0045	0.0063	0.0019	0.0021	0.0029	0.0052	0.0054	0.0043	0.0064	0.0028	0.0021	0.0055		0.0022	0.0022	0.0009	0.0016	0.0008		0.0016	0.0059	0.0037	0.0031	0.0018	0.0013	0.0064	0.0010	0.0045	0.0017	0.0023		0.0018	0.0015	0.0017	0.0010	0.0040	0.0015	0.0031	0.0016	0.0033	0.0015	0.0026	0.0038	0.0026	0.0012	0.0022	0.0024	0.0076	0.0052	0.0055	0.0022	0.0041		0.0018	0.0075	0.0034	0.0026	0.0010	0.0024	0.0026	0.0034	0.0036	0.0026	0.0014	0.0033	0.0015	0.0013		0.0036	0.0028	0.0018	0.0039	0.0008	0.0039	0.0035		0.0027	0.0016	0.0030	0.0011	0.0019	0.0043	0.0040	0.0055	0.0012			0.0013
Teleost_Euteleost_Myctophiformes_Myctophidae_Benthosema_glaciale	0.0005	0.0040		0.0011	0.0025		0.0035	0.0021	0.0021	0.0040	0.0049		0.0017	0.0030	0.0005	0.0009	0.0015	0.0019	0.0025		0.0024	0.0012		0.0020		0.0021	0.0014	0.0015		0.0012	0.0005	0.0017		0.0015	0.0027	0.0016	0.0004	0.0022	0.0016	0.0035	0.0026	0.0018	0.0007	0.0025	0.0006	0.0007	0.0022		0.0004	0.0013	0.0006		0.0018	0.0030		0.0018	0.0018	0.0018	0.0007	0.0016	0.0006	0.0027	0.0012	0.0017	0.0020		0.0005	0.0006	0.0035	0.0018	0.0012		0.0015		0.0010	0.0006	0.0011	0.0015	0.0024	0.0024	0.0022	0.0033	0.0011	0.0019		0.0047	0.0015		0.0031	0.0007	0.0014	0.0039	0.0020	0.0023	0.0023	0.0046	0.0017				0.0027
Teleost_Osteoglossiformes_Osteoglossiformes_Osteoglossidae_Scleropages_formosus	0.0007	0.0025		0.0009	0.0020	0.0017	0.0021	0.0037	0.0020	0.0061	0.0043			0.0023	0.0033	0.0017	0.0051	0.0046	0.0017	0.0009		0.0028	0.0019	0.0013	0.0031	0.0062	0.0030	0.0019	0.0037		0.0002	0.0044	0.0022	0.0010	0.0026	0.0038	0.0027	0.0018	0.0015	0.0022	0.0029		0.0021	0.0007	0.0015	0.0020	0.0012	0.0028	0.0016	0.0022	0.0017	0.0028	0.0032	0.0006	0.0012	0.0053	0.0016	0.0011	0.0015	0.0020	0.0029	0.0024	0.0026	0.0042	0.0025	0.0013	0.0022	0.0020	0.0019	0.0059	0.0011	0.0008	0.0016	0.0016	0.0018	0.0052	0.0023	0.0008	0.0037	0.0022	0.0024	0.0023	0.0021	0.0017	0.0012	0.0036		0.0040	0.0008	0.0006	0.0017	0.0031	0.0012	0.0018	0.0018	0.0020	0.0016	0.0008	0.0031	0.0013	0.0013
Amiiformes_Amiidae_Amia_calva_gill	0.0007			0.0034		0.0020	0.0033	0.0008		0.0013	0.0052	0.0026	0.0021	0.0049			0.0033	0.0027	0.0005	0.0019		0.0032		0.0036	0.0025		0.0001			0.0027	0.0029				0.0012	0.0065	0.0013	0.0026	0.0035	0.0031	0.0021		0.0028			0.0024	0.0021	0.0049	0.0047	0.0017			0.0058		0.0045		0.0023				0.0025				0.0014		0.0020	0.0042	0.0041	0.0049		0.0010	0.0038		0.0023	0.0024	0.0010			0.0015		0.0037	0.0022	0.0024	0.0020	0.0019	0.0012				0.0024				0.0018		0.0042				0.0020
Teleost_Euteleost_Eupercaria_Tetraodontiformes_Tetraodontidae_Takifugu_rubripes	0.0005	0.0013	0.0016	0.0019	0.0010	0.0018	0.0031	0.0027	0.0029	0.0021		0.0018	0.0015	0.0022	0.0020	0.0012	0.0015	0.0022	0.0034	0.0038	0.0022	0.0021	0.0014	0.0024	0.0010	0.0007	0.0007	0.0041	0.0009	0.0027	0.0029	0.0017	0.0013	0.0010	0.0008	0.0019	0.0015	0.0007	0.0010	0.0050	0.0015	0.0013	0.0013	0.0011	0.0012	0.0024	0.0008	0.0028	0.0005	0.0017	0.0021	0.0018	0.0035	0.0013	0.0014	0.0014	0.0036	0.0020	0.0022	0.0013	0.0008	0.0004	0.0026	0.0020	0.0017	0.0007	0.0016	0.0005	0.0031	0.0018	0.0010	0.0012	0.0020	0.0022	0.0019	0.0018	0.0036	0.0026	0.0015	0.0011	0.0027	0.0014	0.0011	0.0008	0.0012	0.0012	0.0009	0.0015	0.0018	0.0018	0.0015	0.0011	0.0035	0.0028	0.0004	0.0025	0.0014	0.0016	0.0012	0.0025	0.0028
Teleost_Clupeiformes_Clupeiformes_Clupeidae_Clupea_harengus	0.0021	0.0019		0.0016	0.0015	0.0034	0.0029	0.0013	0.0029	0.0047	0.0024	0.0024	0.0051	0.0016	0.0038	0.0022	0.0028	0.0049	0.0018	0.0053	0.0014	0.0042	0.0016	0.0023	0.0016	0.0015	0.0034	0.0061	0.0031		0.0018	0.0038	0.0042	0.0007	0.0033	0.0025	0.0021	0.0036	0.0006	0.0008	0.0046	0.0053	0.0032	0.0040	0.0012	0.0052	0.0023	0.0058	0.0039	0.0016	0.0020	0.0017	0.0012	0.0018	0.0032	0.0025	0.0021	0.0028	0.0059	0.0051	0.0032	0.0041	0.0045	0.0047	0.0010	0.0031		0.0034	0.0005	0.0012	0.0019	0.0037	0.0011	0.0039	0.0046	0.0010	0.0026	0.0036	0.0027	0.0037	0.0033	0.0031	0.0056	0.0033	0.0025	0.0018	0.0028	0.0026	0.0051	0.0025	0.0040	0.0018	0.0012	0.0039	0.0012	0.0013	0.0020	0.0011	0.0060	0.0021	0.0025
Teleost_Euteleost_Ovalentaria_Cichliformes_Cichlidae_Oreochromis_niloticus	0.0012	0.0009	0.0010	0.0019	0.0007	0.0018	0.0010	0.0011	0.0012	0.0011	0.0004	0.0019	0.0011	0.0014	0.0003	0.0013	0.0011	0.0033	0.0003	0.0006	0.0010	0.0004	0.0019	0.0029	0.0008	0.0021	0.0011	0.0039	0.0022	0.0006	0.0006	0.0025	0.0008	0.0022	0.0012	0.0042	0.0026	0.0028	0.0010	0.0013	0.0028	0.0015	0.0015	0.0016	0.0006	0.0016	0.0016	0.0021	0.0008	0.0019	0.0014	0.0013	0.0027	0.0021	0.0005	0.0009	0.0015	0.0010	0.0005	0.0011	0.0012	0.0018	0.0023	0.0019	0.0016	0.0016	0.0006	0.0012	0.0019	0.0014	0.0017	0.0007	0.0009	0.0025	0.0021	0.0021	0.0019	0.0033	0.0010	0.0026	0.0018	0.0013	0.0017	0.0011	0.0010	0.0020	0.0002	0.0037	0.0017	0.0018	0.0029	0.0017	0.0023	0.0037	0.0029	0.0025	0.0026	0.0005	0.0033	0.0016	0.0017
Teleost_Euteleost_Eupercaria_Perciformes_Percidae_Perca_fluviatilis	0.0003	0.0006	0.0008	0.0014	0.0007	0.0010	0.0005	0.0027	0.0010	0.0021	0.0035		0.0015	0.0024	0.0004	0.0012	0.0013	0.0019	0.0025	0.0019	0.0024	0.0013	0.0019	0.0003	0.0027	0.0009		0.0012	0.0012	0.0012	0.0007	0.0010	0.0004	0.0029	0.0017	0.0010	0.0008	0.0008	0.0006	0.0039	0.0002	0.0041	0.0020	0.0008	0.0008	0.0017	0.0006	0.0019	0.0020	0.0008	0.0009	0.0024	0.0018	0.0009	0.0007	0.0014	0.0013	0.0033	0.0022	0.0009	0.0013	0.0018	0.0011	0.0012	0.0016	0.0018	0.0005	0.0017		0.0016	0.0011	0.0002	0.0020	0.0030	0.0018	0.0053	0.0012	0.0019	0.0012	0.0020	0.0015	0.0018	0.0015	0.0021	0.0010	0.0020		0.0016	0.0004	0.0019	0.0021	0.0014	0.0010	0.0022	0.0020	0.0015	0.0015	0.0004	0.0016	0.0006	0.0014
Teleost_Euteleost_Holocentriformes_Holocentridae_Myripristis_jacobus	0.0002	0.0015	0.0006	0.0014	0.0014	0.0012	0.0006	0.0025	0.0004	0.0023	0.0039		0.0018	0.0032	0.0008	0.0012	0.0004	0.0010	0.0021	0.0002	0.0024	0.0035	0.0022	0.0018	0.0018	0.0004	0.0030	0.0006	0.0006	0.0032	0.0010	0.0014	0.0007	0.0013	0.0024	0.0010	0.0016	0.0004	0.0008	0.0011	0.0022	0.0031	0.0020	0.0017	0.0017	0.0012	0.0006	0.0010	0.0012	0.0003	0.0006	0.0008	0.0010	0.0006	0.0019	0.0005	0.0023		0.0016	0.0011	0.0008	0.0022	0.0002	0.0008	0.0008	0.0018	0.0013	0.0008	0.0013	0.0014	0.0007	0.0004	0.0016	0.0018	0.0018	0.0024	0.0013	0.0013	0.0016	0.0013	0.0004	0.0014	0.0006	0.0006	0.0014	0.0006	0.0018	0.0011	0.0005	0.0008	0.0010	0.0006	0.0024	0.0017	0.0011	0.0011	0.0016	0.0003	0.0011	0.0008	0.0014
Teleost_Euteleost_Ovalentaria_Cichliformes_Cichlidae_Haplochromis_burtoni	0.0013	0.0009	0.0010	0.0011	0.0011	0.0029	0.0006	0.0008	0.0012	0.0013	0.0006	0.0032	0.0015		0.0004	0.0014	0.0015	0.0038	0.0003	0.0006	0.0019	0.0016	0.0025	0.0029	0.0009	0.0022	0.0013	0.0036	0.0022	0.0009	0.0007	0.0023	0.0008	0.0024	0.0013	0.0042	0.0024	0.0034	0.0010	0.0018	0.0026	0.0014	0.0018	0.0019	0.0009	0.0014	0.0018	0.0027	0.0010	0.0022	0.0017	0.0013	0.0023	0.0021	0.0005	0.0012	0.0017	0.0010	0.0006	0.0011	0.0014	0.0020	0.0020	0.0017	0.0013	0.0016	0.0015	0.0013	0.0016	0.0014	0.0015	0.0005	0.0010	0.0025	0.0023	0.0023	0.0022	0.0029	0.0010	0.0028	0.0017	0.0003	0.0021	0.0004	0.0012	0.0022	0.0004	0.0041	0.0025	0.0016	0.0029	0.0022	0.0030	0.0040	0.0031	0.0018	0.0022	0.0003	0.0033	0.0023	0.0017
Teleost_Euteleost_Trachichthyformes_Monocentridae_Monocentris_japonica	0.0003	0.0008	0.0008	0.0014	0.0008	0.0023	0.0015	0.0025	0.0017	0.0016	0.0013	0.0016		0.0019	0.0006	0.0016	0.0018	0.0016	0.0012	0.0015	0.0010	0.0010	0.0008	0.0005	0.0024	0.0013	0.0013	0.0008	0.0006	0.0015	0.0012	0.0002	0.0007	0.0007	0.0026	0.0002	0.0008	0.0026	0.0009	0.0023	0.0015	0.0033	0.0040	0.0014		0.0017	0.0006	0.0009	0.0008	0.0009	0.0006	0.0003	0.0016		0.0011	0.0003	0.0017	0.0019		0.0029	0.0009	0.0017	0.0004	0.0013	0.0009	0.0014	0.0018	0.0014	0.0016	0.0012		0.0006	0.0006	0.0020	0.0016	0.0015	0.0002	0.0022	0.0023	0.0006	0.0007	0.0013	0.0007	0.0011	0.0017	0.0020	0.0011	0.0010	0.0018	0.0016	0.0009	0.0011	0.0017	0.0017	0.0006	0.0029	0.0010	0.0008	0.0009	0.0006	0.0006
